case_id,fir_number,crime_type,district,state,date_filed,status,summary
CASE-001,FIR-1409/2026,Financial Fraud,Nagpur,TN,2026-08-02,Under Investigation,Extortion case reported in Sambalpur involving multiple suspects.
CASE-002,FIR-2424/2023,Smuggling,Kolhapur,RJ,2023-07-29,Open,Robbery case reported in Bongaigaon involving multiple suspects.
CASE-003,FIR-4811/2023,Money Laundering,Gudivada,MP,2023-07-11,Open,Money Laundering case reported in Patna involving multiple suspects.
CASE-004,FIR-9928/2024,Kidnapping,Tiruchirappalli,TN,2024-02-12,Cold,Smuggling case reported in Muzaffarpur involving multiple suspects.
CASE-005,FIR-3615/2024,Kidnapping,Kishanganj,GJ,2024-07-23,Closed,Extortion case reported in Bongaigaon involving multiple suspects.
CASE-006,FIR-2674/2024,Cybercrime,Muzaffarnagar,RJ,2024-03-16,Open,Assault case reported in Giridih involving multiple suspects.
CASE-007,FIR-5333/2024,Robbery,Chennai,WB,2024-12-05,Open,Kidnapping case reported in Bhusawal involving multiple suspects.
CASE-008,FIR-5803/2023,Smuggling,Alwar,GJ,2023-06-11,Under Investigation,Cybercrime case reported in Thrissur involving multiple suspects.
CASE-009,FIR-5741/2023,Cybercrime,Kota,TN,2023-04-04,Open,Kidnapping case reported in Nadiad involving multiple suspects.
CASE-010,FIR-6977/2024,Extortion,Secunderabad,GJ,2024-07-23,Closed,Vehicle Theft case reported in Mahbubnagar involving multiple suspects.
CASE-011,FIR-2169/2026,Smuggling,Varanasi,KA,2026-10-04,Under Investigation,Extortion case reported in Jorhat involving multiple suspects.
CASE-012,FIR-5422/2025,Money Laundering,Burhanpur,TN,2025-08-04,Closed,Robbery case reported in Suryapet involving multiple suspects.
CASE-013,FIR-6168/2024,Kidnapping,Tadipatri,UP,2024-04-14,Open,Vehicle Theft case reported in Gangtok involving multiple suspects.
CASE-014,FIR-4483/2026,Drug Trafficking,Coimbatore,RJ,2026-03-07,Cold,Extortion case reported in Ambattur involving multiple suspects.
CASE-015,FIR-5040/2024,Money Laundering,Vijayawada,PB,2024-06-26,Closed,Smuggling case reported in Salem involving multiple suspects.
CASE-016,FIR-7543/2025,Assault,Alwar,TN,2025-05-27,Under Investigation,Money Laundering case reported in Bharatpur involving multiple suspects.
CASE-017,FIR-1771/2025,Cybercrime,Uluberia,KA,2025-10-07,Under Investigation,Kidnapping case reported in Bhagalpur involving multiple suspects.
CASE-018,FIR-7304/2026,Kidnapping,Madurai,MP,2026-05-06,Cold,Money Laundering case reported in Deoghar involving multiple suspects.
